,State,County,Entity,Facility ID,Plant Name,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Primary Energy Source,Secondary Energy Source,Initial Year of Operation,location,latlons,lat,lon
351,PA,Cambria,Ebensburg Power Co,10603,Ebensburg Power,OP,57.6,50.0,50.0,22,WC,,1990,Cambria+PA,"[-78.74762079999999, 40.4894231]",40.4894231,-78.74762079999999
352,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,NG,1953,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
353,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,,1953,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
354,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,,1954,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
355,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,NG,1954,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
356,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,,1955,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
357,IL,Massac,Electric Energy Inc,887,Joppa Steam,OP,183.3,167.0,167.0,22,SUB,,1955,Massac+IL,"[-88.7493998, 37.2478298]",37.2478298,-88.7493998
358,KS,Cherokee,Empire District Electric Co,1239,Riverton,OP,37.5,38.0,38.0,22,SUB,BIT,1950,Cherokee+KS,"[-94.80885040000001, 37.3458874]",37.3458874,-94.80885040000001
359,KS,Cherokee,Empire District Electric Co,1239,Riverton,OP,50.0,54.0,54.0,22,SUB,BIT,1954,Cherokee+KS,"[-94.80885040000001, 37.3458874]",37.3458874,-94.80885040000001
360,MO,Jasper,Empire District Electric Co,2076,Asbury,OP,212.8,189.0,189.0,22,SUB,BIT,1970,Jasper+MO,"[-94.30133599999999, 37.3361642]",37.3361642,-94.30133599999999
361,MO,Jasper,Empire District Electric Co,2076,Asbury,OP,18.7,18.0,18.0,22,SUB,BIT,1986,Jasper+MO,"[-94.30133599999999, 37.3361642]",37.3361642,-94.30133599999999
362,PA,Delaware,Exelon Power,3161,Eddystone Generating Station,OP,353.6,309.0,311.0,22,BIT,RFO,1960,Delaware+PA,"[-75.3878525, 39.907793]",39.907793,-75.3878525
363,FL,Citrus,Progress Energy Florida Inc,628,Crystal River,OP,440.5,375.0,376.0,22,BIT,,1966,Citrus+FL,"[-82.5185837, 28.8848842]",28.8848842,-82.5185837
364,FL,Citrus,Progress Energy Florida Inc,628,Crystal River,OP,523.8,498.0,498.0,22,BIT,,1969,Citrus+FL,"[-82.5185837, 28.8848842]",28.8848842,-82.5185837
365,FL,Citrus,Progress Energy Florida Inc,628,Crystal River,OP,739.2,710.0,721.0,22,BIT,,1984,Citrus+FL,"[-82.5185837, 28.8848842]",28.8848842,-82.5185837
366,FL,Citrus,Progress Energy Florida Inc,628,Crystal River,OP,739.2,712.0,721.0,22,BIT,,1982,Citrus+FL,"[-82.5185837, 28.8848842]",28.8848842,-82.5185837
367,OH,Ashtabula,FirstEnergy Generation Corp,2835,FirstEnergy Ashtabula,OP,256.0,244.0,244.0,22,SUB,BIT,1958,Ashtabula+OH,"[-80.7898089, 41.8650534]",41.8650534,-80.7898089
368,OH,Lake,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,OP,123.0,132.0,132.0,22,SUB,BIT,1953,Lake+OH,"[-81.24558549999999, 41.7112669]",41.7112669,-81.24558549999999
369,OH,Lake,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,OP,123.0,132.0,132.0,22,SUB,BIT,1953,Lake+OH,"[-81.24558549999999, 41.7112669]",41.7112669,-81.24558549999999
370,OH,Lake,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,OP,123.0,132.0,132.0,22,SUB,BIT,1954,Lake+OH,"[-81.24558549999999, 41.7112669]",41.7112669,-81.24558549999999
371,OH,Lake,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,OP,208.0,240.0,240.0,22,SUB,BIT,1956,Lake+OH,"[-81.24558549999999, 41.7112669]",41.7112669,-81.24558549999999
372,OH,Lake,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,OP,680.0,597.0,597.0,22,BIT,SUB,1972,Lake+OH,"[-81.24558549999999, 41.7112669]",41.7112669,-81.24558549999999
373,OH,Cuyahoga,FirstEnergy Generation Corp,2838,FirstEnergy Lake Shore,OP,256.0,245.0,245.0,22,SUB,,1962,Cuyahoga+OH,"[-81.67582, 41.433923]",41.433923,-81.67582
374,OH,Belmont,FirstEnergy Generation Corp,2864,FirstEnergy R E Burger,OS,103.4,94.0,94.0,22,BIT,,1950,Belmont+OH,"[-81.0389883, 40.0292374]",40.0292374,-81.0389883
375,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,190.4,180.0,180.0,22,BIT,SUB,1959,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
376,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,190.4,180.0,180.0,22,BIT,SUB,1960,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
377,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,190.4,180.0,180.0,22,BIT,SUB,1961,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
378,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,190.4,180.0,180.0,22,BIT,SUB,1962,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
379,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,334.0,300.0,300.0,22,BIT,SUB,1967,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
380,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,680.0,600.0,600.0,22,BIT,SUB,1969,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
381,OH,Jefferson,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OP,680.0,600.0,600.0,22,BIT,SUB,1971,Jefferson+OH,"[-80.7698066, 41.7386662]",41.7386662,-80.7698066
382,OH,Lucas,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,OP,140.6,138.0,138.0,22,SUB,BIT,1959,Lucas+OH,"[-82.4182204, 40.7050579]",40.7050579,-82.4182204
383,OH,Lucas,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,OP,140.6,142.0,142.0,22,SUB,BIT,1963,Lucas+OH,"[-82.4182204, 40.7050579]",40.7050579,-82.4182204
384,OH,Lucas,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,OP,217.6,215.0,215.0,22,SUB,BIT,1968,Lucas+OH,"[-82.4182204, 40.7050579]",40.7050579,-82.4182204
385,PA,Beaver,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,OP,913.7,830.0,830.0,22,BIT,,1976,Beaver+PA,"[-80.30478459999999, 40.6953437]",40.6953437,-80.30478459999999
386,PA,Beaver,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,OP,913.7,830.0,830.0,22,BIT,,1977,Beaver+PA,"[-80.30478459999999, 40.6953437]",40.6953437,-80.30478459999999
387,PA,Beaver,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,OP,913.7,850.0,850.0,22,BIT,,1980,Beaver+PA,"[-80.30478459999999, 40.6953437]",40.6953437,-80.30478459999999
388,OK,Muskogee,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,OP,25.0,10.6,14.5,322122,SUB,NG,1978,Muskogee+OK,"[-95.3696909, 35.7478769]",35.7478769,-95.3696909
389,OK,Muskogee,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,OP,44.5,23.1,32.5,322122,SUB,NG,1979,Muskogee+OK,"[-95.3696909, 35.7478769]",35.7478769,-95.3696909
390,OK,Muskogee,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,OP,44.5,34.8,32.5,322122,SUB,NG,1982,Muskogee+OK,"[-95.3696909, 35.7478769]",35.7478769,-95.3696909
391,NE,Dodge,City of Fremont - (NE),2240,Lon Wright,OP,16.5,15.0,15.0,22,SUB,NG,1957,Dodge+NE,"[-96.8828111, 41.7211147]",41.7211147,-96.8828111
392,NE,Dodge,City of Fremont - (NE),2240,Lon Wright,OP,22.0,20.0,20.0,22,SUB,NG,1963,Dodge+NE,"[-96.8828111, 41.7211147]",41.7211147,-96.8828111
393,NE,Dodge,City of Fremont - (NE),2240,Lon Wright,OP,91.5,85.0,85.0,22,SUB,NG,1977,Dodge+NE,"[-96.8828111, 41.7211147]",41.7211147,-96.8828111
394,FL,Alachua,Gainesville Regional Utilities,663,Deerhaven Generating Station,OP,250.7,227.0,227.0,22,BIT,NG,1981,Alachua+FL,"[-82.49442260000001, 29.7938144]",29.7938144,-82.49442260000001
395,WY,Sweetwater,Tata Chemicals Partners,54318,General Chemical,OP,15.0,15.0,15.0,325188,SUB,NG,1968,Sweetwater+WY,"[-109.1880047, 41.8519395]",41.8519395,-109.1880047
396,WY,Sweetwater,Tata Chemicals Partners,54318,General Chemical,OP,15.0,15.0,15.0,325188,SUB,NG,1977,Sweetwater+WY,"[-109.1880047, 41.8519395]",41.8519395,-109.1880047
397,GA,Bartow,Georgia Power Co,703,Bowen,OP,805.8,724.0,724.0,22,BIT,DFO,1971,Bartow+GA,"[-82.4737399, 32.8787666]",32.8787666,-82.4737399
398,GA,Bartow,Georgia Power Co,703,Bowen,OP,788.8,724.0,724.0,22,BIT,DFO,1972,Bartow+GA,"[-82.4737399, 32.8787666]",32.8787666,-82.4737399
399,GA,Bartow,Georgia Power Co,703,Bowen,OP,952.0,892.0,892.0,22,BIT,DFO,1974,Bartow+GA,"[-82.4737399, 32.8787666]",32.8787666,-82.4737399
400,GA,Bartow,Georgia Power Co,703,Bowen,OP,952.0,862.0,892.0,22,BIT,DFO,1975,Bartow+GA,"[-82.4737399, 32.8787666]",32.8787666,-82.4737399
401,GA,Floyd,Georgia Power Co,708,Hammond,OP,125.0,110.0,110.0,22,BIT,DFO,1954,Floyd+GA,"[-85.2308414, 34.2828967]",34.2828967,-85.2308414
402,GA,Floyd,Georgia Power Co,708,Hammond,OP,125.0,110.0,110.0,22,BIT,DFO,1954,Floyd+GA,"[-85.2308414, 34.2828967]",34.2828967,-85.2308414
403,GA,Floyd,Georgia Power Co,708,Hammond,OP,125.0,110.0,110.0,22,BIT,DFO,1955,Floyd+GA,"[-85.2308414, 34.2828967]",34.2828967,-85.2308414
404,GA,Floyd,Georgia Power Co,708,Hammond,OP,578.0,510.0,510.0,22,BIT,DFO,1970,Floyd+GA,"[-85.2308414, 34.2828967]",34.2828967,-85.2308414
405,GA,Putnam,Georgia Power Co,709,Harllee Branch,OP,299.2,266.0,266.0,22,BIT,DFO,1965,Putnam+GA,"[-83.3789389, 33.3069978]",33.3069978,-83.3789389
406,GA,Putnam,Georgia Power Co,709,Harllee Branch,OP,359.0,325.0,325.0,22,BIT,DFO,1967,Putnam+GA,"[-83.3789389, 33.3069978]",33.3069978,-83.3789389
407,GA,Putnam,Georgia Power Co,709,Harllee Branch,OP,544.0,509.0,509.0,22,BIT,DFO,1968,Putnam+GA,"[-83.3789389, 33.3069978]",33.3069978,-83.3789389
408,GA,Putnam,Georgia Power Co,709,Harllee Branch,OP,544.0,507.0,507.0,22,BIT,DFO,1969,Putnam+GA,"[-83.3789389, 33.3069978]",33.3069978,-83.3789389
409,GA,Cobb,Georgia Power Co,710,Jack McDonough,OP,299.2,251.0,251.0,22,BIT,NG,1963,Cobb+GA,"[-83.9885113, 31.9587827]",31.9587827,-83.9885113
410,GA,Dougherty,Georgia Power Co,727,Mitchell,OP,163.2,155.0,155.0,22,BIT,DFO,1964,Dougherty+GA,"[-84.2278796, 31.5439375]",31.5439375,-84.2278796
411,GA,Coweta,Georgia Power Co,728,Yates,OP,122.5,97.0,97.0,22,BIT,NG,1950,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
412,GA,Coweta,Georgia Power Co,728,Yates,OP,122.5,103.0,103.0,22,BIT,NG,1950,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
413,GA,Coweta,Georgia Power Co,728,Yates,OP,122.5,111.0,111.0,22,BIT,NG,1952,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
414,GA,Coweta,Georgia Power Co,728,Yates,OP,156.2,133.0,133.0,22,BIT,NG,1957,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
415,GA,Coweta,Georgia Power Co,728,Yates,OP,156.2,135.0,135.0,22,BIT,NG,1958,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
416,GA,Coweta,Georgia Power Co,728,Yates,OP,403.7,352.0,352.0,22,BIT,NG,1974,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
417,GA,Coweta,Georgia Power Co,728,Yates,OP,403.7,355.0,355.0,22,BIT,NG,1974,Coweta+GA,"[-84.7315563, 33.3716708]",33.3716708,-84.7315563
418,GA,Chatham,Georgia Power Co,733,Kraft,OP,54.4,52.0,52.0,22,BIT,NG,1961,Chatham+GA,"[-81.1196075, 31.9994194]",31.9994194,-81.1196075
419,GA,Chatham,Georgia Power Co,733,Kraft,OP,103.5,101.0,101.0,22,BIT,NG,1965,Chatham+GA,"[-81.1196075, 31.9994194]",31.9994194,-81.1196075
420,GA,Chatham,Georgia Power Co,733,Kraft,OP,50.0,48.0,48.0,22,BIT,NG,1958,Chatham+GA,"[-81.1196075, 31.9994194]",31.9994194,-81.1196075
421,GA,Heard,Georgia Power Co,6052,Wansley,OP,952.0,872.0,872.0,22,BIT,DFO,1976,Heard+GA,"[-85.14793639999999, 33.2990406]",33.2990406,-85.14793639999999
422,GA,Heard,Georgia Power Co,6052,Wansley,OP,952.0,872.0,872.0,22,BIT,DFO,1978,Heard+GA,"[-85.14793639999999, 33.2990406]",33.2990406,-85.14793639999999
423,GA,Effingham,Georgia Power Co,6124,McIntosh,OP,177.6,156.5,156.5,22,BIT,DFO,1979,Effingham+GA,"[-81.38393260000001, 32.378148]",32.378148,-81.38393260000001
424,GA,Monroe,Georgia Power Co,6257,Scherer,OP,891.0,837.0,837.0,22,SUB,DFO,1982,Monroe+GA,"[-83.713229, 33.7948364]",33.7948364,-83.713229
425,GA,Monroe,Georgia Power Co,6257,Scherer,OP,891.0,850.0,843.0,22,SUB,DFO,1984,Monroe+GA,"[-83.713229, 33.7948364]",33.7948364,-83.713229
426,GA,Monroe,Georgia Power Co,6257,Scherer,OP,891.0,870.0,870.0,22,SUB,DFO,1987,Monroe+GA,"[-83.713229, 33.7948364]",33.7948364,-83.713229
427,GA,Monroe,Georgia Power Co,6257,Scherer,OP,891.0,849.7,866.0,22,SUB,DFO,1989,Monroe+GA,"[-83.713229, 33.7948364]",33.7948364,-83.713229
428,PA,Schuylkill,Gilberton Power Co,10113,John B Rich Memorial Power Station,OP,88.4,80.0,80.0,22,WC,DFO,1988,Schuylkill+PA,"[-76.17837390000001, 40.6873058]",40.6873058,-76.17837390000001
429,AK,Denali Borough,Golden Valley Elec Assn Inc,6288,Healy,OP,28.0,25.0,25.0,22,SUB,WC,1967,Denali Borough+AK,"[-149.7317834, 63.82571729999999]",63.82571729999999,-149.7317834
430,MI,Ottawa,City of Grand Haven,1825,J B Sims,OP,80.0,73.2,73.2,22,BIT,NG,1983,Ottawa+MI,"[-86.0937312, 42.95302299999999]",42.95302299999999,-86.0937312
431,OK,Mayes,Grand River Dam Authority,165,GRDA,OP,540.0,490.0,490.0,22,SUB,NG,1981,Mayes+OK,"[-95.3102505, 36.2322429]",36.2322429,-95.3102505
432,OK,Mayes,Grand River Dam Authority,165,GRDA,OP,594.0,520.0,520.0,22,SUB,NG,1985,Mayes+OK,"[-95.3102505, 36.2322429]",36.2322429,-95.3102505
433,ND,Mercer,Great River Energy,2824,Stanton,OP,190.2,187.4,187.4,22,SUB,,1967,Mercer+ND,"[-100.7109688, 47.4905538]",47.4905538,-100.7109688
434,ND,McLean,Great River Energy,6030,Coal Creek,OP,604.8,566.8,566.8,22,LIG,,1979,McLean+ND,"[-101.131122, 47.6185079]",47.6185079,-101.131122
435,ND,McLean,Great River Energy,6030,Coal Creek,OP,604.8,573.5,573.5,22,LIG,,1980,McLean+ND,"[-101.131122, 47.6185079]",47.6185079,-101.131122
436,FL,Escambia,Gulf Power Co,641,Crist,OP,93.7,75.0,75.0,22,BIT,,1959,Escambia+FL,"[-87.3413599, 30.6389408]",30.6389408,-87.3413599
437,FL,Escambia,Gulf Power Co,641,Crist,OP,93.7,75.0,75.0,22,BIT,,1961,Escambia+FL,"[-87.3413599, 30.6389408]",30.6389408,-87.3413599
438,FL,Escambia,Gulf Power Co,641,Crist,OP,369.7,291.0,291.0,22,BIT,,1970,Escambia+FL,"[-87.3413599, 30.6389408]",30.6389408,-87.3413599
439,FL,Escambia,Gulf Power Co,641,Crist,OP,578.0,465.0,465.0,22,BIT,,1973,Escambia+FL,"[-87.3413599, 30.6389408]",30.6389408,-87.3413599
440,FL,Jackson,Gulf Power Co,642,Scholz,OP,49.0,46.0,46.0,22,BIT,,1953,Jackson+FL,"[-85.1894045, 30.7150882]",30.7150882,-85.1894045
441,FL,Jackson,Gulf Power Co,642,Scholz,OP,49.0,46.0,46.0,22,BIT,,1953,Jackson+FL,"[-85.1894045, 30.7150882]",30.7150882,-85.1894045
442,FL,Bay,Gulf Power Co,643,Lansing Smith,OP,149.6,162.0,162.0,22,BIT,,1965,Bay+FL,"[-85.684578, 30.1805306]",30.1805306,-85.684578
443,FL,Bay,Gulf Power Co,643,Lansing Smith,OP,190.4,195.0,195.0,22,BIT,,1967,Bay+FL,"[-85.684578, 30.1805306]",30.1805306,-85.684578
444,DE,Kent,NRG Energy Center Dover LLC,10030,NRG Energy Center Dover,OP,18.0,16.0,16.0,22,BIT,,1985,Kent+DE,"[-75.4344727, 39.1440612]",39.1440612,-75.4344727
445,OH,Butler,City of Hamilton - (OH),2917,Hamilton,OP,25.0,25.0,25.0,22,BIT,NG,1965,Butler+OH,"[-82.4248862, 40.5883933]",40.5883933,-82.4248862
446,OH,Butler,City of Hamilton - (OH),2917,Hamilton,OP,50.6,51.0,50.0,22,BIT,NG,1975,Butler+OH,"[-82.4248862, 40.5883933]",40.5883933,-82.4248862
447,NE,Adams,City of Hastings - (NE),60,Whelan Energy Center,OP,76.3,77.0,77.0,22,SUB,,1981,Adams+NE,"[-96.5094615, 40.46111080000001]",40.46111080000001,-96.5094615
448,NE,Adams,City of Hastings - (NE),60,Whelan Energy Center,OP,248.0,225.0,225.0,22,SUB,,2011,Adams+NE,"[-96.5094615, 40.46111080000001]",40.46111080000001,-96.5094615
449,MN,St Louis,Hibbing Public Utilities Comm,1979,Hibbing,OP,10.0,10.0,10.0,22,SUB,WDS,1965,St Louis+MN,"[-92.3623921, 47.7395106]",47.7395106,-92.3623921
450,MN,St Louis,Hibbing Public Utilities Comm,1979,Hibbing,OP,19.5,19.5,19.5,22,SUB,WDS,1985,St Louis+MN,"[-92.3623921, 47.7395106]",47.7395106,-92.3623921
451,MN,St Louis,Hibbing Public Utilities Comm,1979,Hibbing,OP,6.4,1.0,6.4,22,SUB,WDS,1996,St Louis+MN,"[-92.3623921, 47.7395106]",47.7395106,-92.3623921
452,MI,Ottawa,City of Holland,1830,James De Young,OP,11.5,10.5,10.5,22,BIT,,1951,Ottawa+MI,"[-86.0937312, 42.95302299999999]",42.95302299999999,-86.0937312
453,MI,Ottawa,City of Holland,1830,James De Young,OP,22.0,20.5,20.5,22,BIT,NG,1962,Ottawa+MI,"[-86.0937312, 42.95302299999999]",42.95302299999999,-86.0937312
454,MI,Ottawa,City of Holland,1830,James De Young,OP,29.3,27.0,27.0,22,BIT,NG,1969,Ottawa+MI,"[-86.0937312, 42.95302299999999]",42.95302299999999,-86.0937312
455,MO,Jackson,City of Independence - (MO),2132,Blue Valley,OP,25.0,21.0,21.0,22,BIT,NG,1958,Jackson+MO,"[-89.6662063, 37.3822732]",37.3822732,-89.6662063
456,MO,Jackson,City of Independence - (MO),2132,Blue Valley,OP,65.0,51.0,51.0,22,BIT,NG,1965,Jackson+MO,"[-89.6662063, 37.3822732]",37.3822732,-89.6662063
457,MO,Jackson,City of Independence - (MO),2132,Blue Valley,OP,25.0,21.0,21.0,22,BIT,NG,1958,Jackson+MO,"[-89.6662063, 37.3822732]",37.3822732,-89.6662063
458,MO,Clay,City of Independence - (MO),2171,Missouri City,OP,23.0,19.0,19.0,22,BIT,DFO,1954,Clay+MO,"[-92.45241329999999, 40.2275342]",40.2275342,-92.45241329999999
459,MO,Clay,City of Independence - (MO),2171,Missouri City,OP,23.0,19.0,19.0,22,BIT,DFO,1954,Clay+MO,"[-92.45241329999999, 40.2275342]",40.2275342,-92.45241329999999
460,IN,Pike,"Hoosier Energy R E C, Inc",1043,Frank E Ratts,OP,116.6,118.0,122.0,22,BIT,DFO,1970,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
461,IN,Pike,"Hoosier Energy R E C, Inc",1043,Frank E Ratts,OP,116.6,122.0,122.0,22,BIT,DFO,1970,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
462,IN,Sullivan,"Hoosier Energy R E C, Inc",6213,Merom,OP,540.0,498.0,504.0,22,BIT,DFO,1983,Sullivan+IN,"[-87.4058525, 39.0953199]",39.0953199,-87.4058525
463,IN,Sullivan,"Hoosier Energy R E C, Inc",6213,Merom,OP,540.0,497.0,503.0,22,BIT,DFO,1982,Sullivan+IN,"[-87.4058525, 39.0953199]",39.0953199,-87.4058525
464,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1955,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
465,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1955,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
466,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1955,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
467,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1955,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
468,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1955,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
469,IN,Jefferson,Indiana-Kentucky Electric Corp,983,Clifty Creek,OP,217.3,200.5,204.7,22,SUB,BIT,1956,Jefferson+IN,"[-86.58999999999999, 40.279444]",40.279444,-86.58999999999999
470,IN,Marion,Indianapolis Power & Light Co,990,Harding Street,OP,113.5,106.0,109.0,22,BIT,DFO,1958,Marion+IN,"[-85.6591442, 40.5583739]",40.5583739,-85.6591442
471,IN,Marion,Indianapolis Power & Light Co,990,Harding Street,OP,113.6,106.0,109.0,22,BIT,DFO,1961,Marion+IN,"[-85.6591442, 40.5583739]",40.5583739,-85.6591442
472,IN,Marion,Indianapolis Power & Light Co,990,Harding Street,OP,470.9,435.0,435.0,22,BIT,DFO,1973,Marion+IN,"[-85.6591442, 40.5583739]",40.5583739,-85.6591442
473,IN,Morgan,Indianapolis Power & Light Co,991,Eagle Valley,OP,50.0,40.0,40.0,22,BIT,,1951,Morgan+IN,"[-86.3376761, 39.51168089999999]",39.51168089999999,-86.3376761
474,IN,Morgan,Indianapolis Power & Light Co,991,Eagle Valley,OP,69.0,56.0,57.0,22,BIT,,1953,Morgan+IN,"[-86.3376761, 39.51168089999999]",39.51168089999999,-86.3376761
475,IN,Morgan,Indianapolis Power & Light Co,991,Eagle Valley,OP,69.0,62.0,63.0,22,BIT,,1953,Morgan+IN,"[-86.3376761, 39.51168089999999]",39.51168089999999,-86.3376761
476,IN,Morgan,Indianapolis Power & Light Co,991,Eagle Valley,OP,113.6,99.0,100.0,22,BIT,,1956,Morgan+IN,"[-86.3376761, 39.51168089999999]",39.51168089999999,-86.3376761
477,IN,Pike,Indianapolis Power & Light Co,994,AES Petersburg,OP,670.9,529.6,534.6,22,BIT,,1986,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
478,IN,Pike,Indianapolis Power & Light Co,994,AES Petersburg,OP,281.6,222.5,225.1,22,BIT,,1967,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
479,IN,Pike,Indianapolis Power & Light Co,994,AES Petersburg,OP,523.3,421.8,432.2,22,BIT,,1969,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
480,IN,Pike,Indianapolis Power & Light Co,994,AES Petersburg,OP,670.9,527.6,540.3,22,BIT,,1977,Pike+IN,"[-86.481944, 40.124167]",40.124167,-86.481944
481,IN,Dearborn,Indiana Michigan Power Co,988,Tanners Creek,OP,152.5,145.0,145.0,22,BIT,,1951,Dearborn+IN,"[-84.981754, 39.1713075]",39.1713075,-84.981754
482,IN,Dearborn,Indiana Michigan Power Co,988,Tanners Creek,OP,152.5,145.0,145.0,22,BIT,,1952,Dearborn+IN,"[-84.981754, 39.1713075]",39.1713075,-84.981754
483,IN,Dearborn,Indiana Michigan Power Co,988,Tanners Creek,OP,215.4,200.0,205.0,22,BIT,,1954,Dearborn+IN,"[-84.981754, 39.1713075]",39.1713075,-84.981754
484,IN,Dearborn,Indiana Michigan Power Co,988,Tanners Creek,OP,579.7,500.0,500.0,22,BIT,SUB,1964,Dearborn+IN,"[-84.981754, 39.1713075]",39.1713075,-84.981754
485,IN,Spencer,Indiana Michigan Power Co,6166,Rockport,OP,1300.0,1300.0,1300.0,22,SUB,BIT,1984,Spencer+IN,"[-86.7625058, 39.2867117]",39.2867117,-86.7625058
486,IN,Spencer,Indiana Michigan Power Co,6166,Rockport,OP,1300.0,1300.0,1300.0,22,SUB,BIT,1989,Spencer+IN,"[-86.7625058, 39.2867117]",39.2867117,-86.7625058
487,DE,Sussex,Indian River Operations Inc,594,Indian River Generating Station,OS,81.6,89.0,89.0,22,BIT,DFO,1957,Sussex+DE,"[-75.4344727, 38.65308410000001]",38.65308410000001,-75.4344727
488,DE,Sussex,Indian River Operations Inc,594,Indian River Generating Station,OS,81.6,89.0,89.0,22,BIT,DFO,1959,Sussex+DE,"[-75.4344727, 38.65308410000001]",38.65308410000001,-75.4344727
489,DE,Sussex,Indian River Operations Inc,594,Indian River Generating Station,OP,176.8,170.0,170.0,22,BIT,DFO,1970,Sussex+DE,"[-75.4344727, 38.65308410000001]",38.65308410000001,-75.4344727
490,DE,Sussex,Indian River Operations Inc,594,Indian River Generating Station,OP,442.4,430.0,430.0,22,BIT,DFO,1980,Sussex+DE,"[-75.4344727, 38.65308410000001]",38.65308410000001,-75.4344727
491,PA,Cambria,"Inter-Power/AhlCon Partners, L.P.",10143,Colver Power Project,OP,118.0,110.0,110.0,22,WC,PG,1995,Cambria+PA,"[-78.74762079999999, 40.4894231]",40.4894231,-78.74762079999999
